Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2WlOO5UM3eoEQt7Z2z3PU1,"3jK9MiCrA42lLAdMGUZpwa","Might Be","Venice","Anderson .Paak",2014-10-28,237165,56,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.684,0.585,2,-7.601,1,0.0712,0.357,0.00000123,0.728,0.335,148.507,4
0ReEEk6xty0IlNrZg2m6ZZ,"3jK9MiCrA42lLAdMGUZpwa,0h9smro0z3HqUbD94jotU8","Make It Better (feat. Smokey Robinson)","Ventura","Anderson .Paak,Smokey Robinson",2019-04-12,219332,49,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,classic soul,disco,funk,motown,quiet storm,soul",0.675,0.56,4,-6.024,0,0.0643,0.0112,0.00403,0.137,0.551,178.555,4
45QCLleisOdYTnBmtX6fVl,"3jK9MiCrA42lLAdMGUZpwa,0uNEy4544VZq2KOl7BsLuo","Reachin' 2 Much (feat. Lalah Hathaway)","Ventura","Anderson .Paak,Lalah Hathaway",2019-04-12,355458,22,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,neo r&b,neo soul,quiet storm,r&b,soul,urban contemporary",0.572,0.674,0,-4.375,1,0.0786,0.000669,0.000108,0.099,0.4,120.271,4
4FCvsqXgIJ0bDRs7DV6k0s,"3jK9MiCrA42lLAdMGUZpwa","Winners Circle","Ventura","Anderson .Paak",2019-04-12,209202,22,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room",0.759,0.616,2,-8.226,1,0.319,0.195,0.00000968,0.405,0.693,94.142,4
3rUJUBVotqXifCw7zEnRST,"3jK9MiCrA42lLAdMGUZpwa,7gSjFKpVmDgC2MMsnN8CYq","Good Heels (feat. Jazmine Sullivan)","Ventura","Anderson .Paak,Jazmine Sullivan",2019-04-12,98232,21,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,alternative r&b,dance pop,hip pop,indie r&b,neo soul,pop,pop r&b,r&b,urban contemporary",0.783,0.512,9,-7.47,0,0.0693,0.013,0.000477,0.0542,0.438,80.104,4
3UvCHGbVtl6poLz3pnQNI7,"3jK9MiCrA42lLAdMGUZpwa,05oH07COxkXKIMt6mIPRee","Jet Black (feat. Brandy)","Ventura","Anderson .Paak,Brandy",2019-04-12,208379,32,spotify:user:recks11,2020-10-23T18:16:31Z,"escape room,dance pop,hip hop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,urban contemporary",0.797,0.608,7,-7.25,0,0.13,0.0354,0.00000971,0.0974,0.509,108.24,4
0OwX5aROoW1Iip8FV51Efg,"1zNqDE7qDGCsyzJwohVaoX","Alarm","Alarm","Anne-Marie",2016-05-20,205593,63,spotify:user:recks11,2020-10-23T18:16:37Z,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop",0.756,0.589,0,-5.093,1,0.232,0.0812,0,0.176,0.811,146.928,4
2W4yABdLc4Jnds67Poi5Nl,"4jpsw9CQS439N0B7SecMgf","Yellow Hearts","Yellow Hearts","Ant Saunders",2019-06-18,223257,75,spotify:user:recks11,2020-10-23T18:16:37Z,"chill r&b,pop",0.866,0.438,7,-8.943,1,0.0719,0.177,0,0.0743,0.695,129.039,4
3jfr0TF6DQcOLat8gGn7E2,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,0,spotify:user:recks11,2020-10-23T18:16:37Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
7nzsY8vlnKdvGOEE0rjAXZ,"7Ln80lUS6He07XvHI8qqHH","Arabella","AM","Arctic Monkeys",2013-09-09,207356,76,spotify:user:recks11,2020-10-23T18:16:37Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.579,0.558,2,-6.986,1,0.0895,0.0202,0.00000126,0.212,0.506,179.949,4
086myS9r57YsLbJpU0TgK9,"7Ln80lUS6He07XvHI8qqHH","Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,87,spotify:user:recks11,2020-10-23T18:16:37Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
2LGdO5MtFdyphi2EihANZG,"7Ln80lUS6He07XvHI8qqHH","Knee Socks","AM","Arctic Monkeys",2013-09-09,257563,74,spotify:user:recks11,2020-10-23T18:16:37Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,4
56IszkEOG5lFShWevvEH3R,"1vaQ6v3pOFxAIrFoPrAcom","Whipped Cream","Shea Butter Baby","Ari Lennox",2019-05-07,288531,61,spotify:user:recks11,2020-10-23T18:16:37Z,"alternative r&b,chill r&b,dmv rap,indie r&b,indie soul,neo soul,pop,r&b,urban contemporary",0.741,0.397,6,-9.34,0,0.035,0.568,0,0.153,0.418,85.049,4
7zrhy9OhtcO7MdIvbbJiOa,"66CXWjxzNUsdJxJ2JdwvnR","December","Christmas & Chill","Ariana Grande",2015-12-18,116266,50,spotify:user:recks11,2020-10-23T18:16:37Z,"dance pop,pop,post-teen pop",0.71,0.396,11,-11.247,0,0.0843,0.492,0,0.221,0.63,89.941,4
7yHEDfrJNd0zWOfXwydNH0,"66CXWjxzNUsdJxJ2JdwvnR","Into You","Dangerous Woman","Ariana Grande",2016-05-20,244453,1,spotify:user:recks11,2020-10-23T18:16:37Z,"dance pop,pop,post-teen pop",0.636,0.727,9,-5.852,1,0.106,0.0161,0.00000112,0.151,0.358,107.988,4
3jbUdoZoiF3yI1H50qq6L5,"0upXUo04k4k8bGVSkmgrSc","Jailer","ASA (Asha)","Aṣa",2007-10-16,247733,0,spotify:user:recks11,2020-10-23T18:16:37Z,"alte,neo soul,nigerian pop,pop soul",0.888,0.415,0,-5.074,1,0.0444,0.481,0,0.114,0.899,101.984,4
3XSJoydgNAXVNRhlJc7nKA,"0upXUo04k4k8bGVSkmgrSc","Fire On The Mountain","Asa","Aṣa",2008,280106,0,spotify:user:recks11,2020-10-23T18:16:37Z,"alte,neo soul,nigerian pop,pop soul",0.802,0.531,10,-7.498,1,0.0597,0.346,0.0000166,0.165,0.698,108.02,4
3A1UYJcO6c5M2PlsTHIJPV,"0upXUo04k4k8bGVSkmgrSc","Eyo","Bed of Stone","Aṣa",2014-08-25,196406,0,spotify:user:recks11,2020-10-23T18:16:37Z,"alte,neo soul,nigerian pop,pop soul",0.627,0.556,6,-7.764,1,0.0507,0.377,0.0000404,0.338,0.577,80.03,4
5wESkkICR60ecXYguUrQcp,"0upXUo04k4k8bGVSkmgrSc","Sometimes I Wonder","Bed of Stone","Aṣa",2014-08-25,179314,0,spotify:user:recks11,2020-10-23T18:16:37Z,"alte,neo soul,nigerian pop,pop soul",0.833,0.456,0,-8.886,1,0.0453,0.369,0,0.159,0.703,98.024,4
0eeIwG0vTlzUpkpeKA4MuK,"0upXUo04k4k8bGVSkmgrSc","The Beginning","The Beginning","Aṣa",2019-05-14,224146,48,spotify:user:recks11,2020-10-23T18:16:37Z,"alte,neo soul,nigerian pop,pop soul",0.428,0.506,6,-6.648,1,0.0288,0.305,0.000183,0.0503,0.349,158.025,4
1XFbCFyh2mPCDUBtoHut9A,"7zkwepHPyac6tCYl0fL0co","18","18","ASTN",2018-05-18,170684,43,spotify:user:recks11,2020-10-23T18:16:37Z,"bedroom soul,chill r&b",0.554,0.452,8,-12.751,1,0.538,0.575,0,0.347,0.344,84.982,3
1v1oIWf2Xgh54kIWuKsDf6,"1WgXqy2Dd70QQOU7Ay074N","Runaway","All My Demons Greeting Me As A Friend (Deluxe)","AURORA",2016-03-11,248826,81,spotify:user:recks11,2020-10-23T18:16:37Z,"art pop,norwegian pop",0.422,0.302,11,-9.214,1,0.0372,0.629,0.0000783,0.104,0.123,114.089,4
71L6AaNp9N96PH0ZApnkbR,"1WgXqy2Dd70QQOU7Ay074N","Running With The Wolves","All My Demons Greeting Me As A Friend (Deluxe Version)","AURORA",2016-03-11,194760,0,spotify:user:recks11,2020-10-23T18:16:37Z,"art pop,norwegian pop",0.531,0.568,5,-5.53,1,0.0571,0.253,0.000077,0.26,0.438,164.127,4
1GQjmYGt0Jrar2kN6bKMtT,"1WgXqy2Dd70QQOU7Ay074N","Awakening","Awakening","AURORA",2014-03-23,220981,0,spotify:user:recks11,2020-10-23T18:16:37Z,"art pop,norwegian pop",0.608,0.522,6,-8.445,0,0.0711,0.35,0.000197,0.104,0.443,111.961,4
3T8ahjT0UGp7UAQaGIERat,"039zhJoEkboZ8Ii6K40Fb6","FACTS","FACTS","Avelino",2018-10-11,156747,28,spotify:user:recks11,2020-10-23T18:16:37Z,"grime,uk alternative hip hop,uk hip hop",0.867,0.634,11,-7.269,0,0.223,0.0367,0.00000546,0.0988,0.796,146.989,4
5xEM5hIgJ1jjgcEBfpkt2F,"0p4nmQO2msCgU4IF37Wi3j","Complicated","Let Go","Avril Lavigne",2002-06-04,244506,79,spotify:user:recks11,2020-10-23T18:16:37Z,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.585,0.776,5,-5.898,1,0.0459,0.0572,0.00000774,0.3,0.427,77.987,4
00Mb3DuaIH1kjrwOku9CGU,"0p4nmQO2msCgU4IF37Wi3j","Sk8er Boi","Let Go","Avril Lavigne",2002-06-04,204000,78,spotify:user:recks11,2020-10-23T18:16:37Z,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.487,0.9,0,-4.417,1,0.0482,0.0000679,0,0.358,0.484,149.937,4
3pRjpQahpix0exFO8Y3CNH,"0p4nmQO2msCgU4IF37Wi3j","I'm with You","Let Go","Avril Lavigne",2002-08-26,223066,0,spotify:user:recks11,2020-10-23T18:16:37Z,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,3
2QpUWi6VSNOt2WyH5FIeLD,"7IlRNXHjoOCgEAWN5qYksg","Pookie","NAKAMURA","Aya Nakamura",2018-11-02,180840,68,spotify:user:recks11,2020-10-23T18:16:37Z,"basshall,francoton",0.912,0.598,6,-7.718,0,0.0877,0.0718,0.00000112,0.0892,0.533,98.006,4
0xzZlIXDsXgC3kCPjRB1Rp,"7IlRNXHjoOCgEAWN5qYksg","Faya","NAKAMURA","Aya Nakamura",2018-11-02,166933,51,spotify:user:recks11,2020-10-23T18:16:37Z,"basshall,francoton",0.715,0.558,4,-8.694,0,0.203,0.396,0,0.101,0.552,89.921,4
6cTLMb7FncAoQNMUZPFrCT,"77IURH5NC56Jn09QHi76is","Fast Lane","Hell: The Sequel (Deluxe)","Bad Meets Evil",2011-01-01,249560,0,spotify:user:recks11,2020-10-23T18:16:37Z,"detroit hip hop,gangster rap,hip hop,pop rap,rap",0.614,0.868,1,-3.833,1,0.28,0.0484,0,0.231,0.361,115.913,5
2wVdOx9io31HIHVAM81r76,"77IURH5NC56Jn09QHi76is","The Reunion","Hell: The Sequel (Deluxe)","Bad Meets Evil",2011-01-01,290413,0,spotify:user:recks11,2020-10-23T18:16:37Z,"detroit hip hop,gangster rap,hip hop,pop rap,rap",0.528,0.902,1,-3.291,1,0.424,0.173,0,0.746,0.672,82.106,4
192WdDDtwlYNBQ9OkCOY4i,"77IURH5NC56Jn09QHi76is","A Kiss","Hell: The Sequel (Deluxe)","Bad Meets Evil",2011-01-01,274466,0,spotify:user:recks11,2020-10-23T18:16:37Z,"detroit hip hop,gangster rap,hip hop,pop rap,rap",0.721,0.842,11,-5.63,1,0.17,0.00857,0,0.189,0.874,151.027,4
