number,name,artist,album,genres,duration,released
3,My Affection (with PARTYNEXTDOOR),Summer Walker,Life On Earth - EP,"pop,r&b,pop,pop rap,rap,toronto rap,trap,urban contemporary",213933,2020-07-10
2,Love Galore (feat. Travis Scott),SZA,Ctrl,"pop,pop rap,rap,slap house",275080,2017-06-09
9,Incomplete Kisses,Sampha,Process,"alternative r&b,indie soul",233856,2017-02-03
8,"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink,Diaspora,"alternative r&b,dmv rap,hip hop,rap,underground hip hop,hip hop,rap,alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop",201240,2019-06-12
4,D'Evils,SiR,November,"alternative r&b,hip hop,indie r&b,indie soul,la pop,rap,underground hip hop",171818,2018-01-19
3,Night Drive,Ari Lennox,PHO,"alternative r&b,chill r&b,dmv rap,indie r&b,indie soul,neo soul,pop,r&b,urban contemporary",150133,2016-10-21
7,Rehab (Winter In Paris),Brent Faiyaz,Fuck The World,"dmv rap,rap",180303,2020-02-07
2,She Don't (feat. Ty Dolla $Ign),Ella Mai,Time,"dance pop,pop,pop r&b,pop rap,post-teen pop,r&b,rap,uk contemporary r&b,urban contemporary,pop rap,r&b,trap,trap soul",264097,2016-02-15
1,Some,Steve Lacy,Some,"afrofuturism,alternative r&b,rap",118393,2016-10-31
2,Clouded,Brent Faiyaz,Fuck The World,"dmv rap,rap",110128,2020-02-07
10,Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel,War & Leisure,"dance pop,pop,r&b,urban contemporary,conscious hip hop,hip hop,north carolina hip hop,rap,alternative r&b,hip hop,indie r&b",322000,2017-12-01
7,He Loves Me - Lyzel in E Flat,Jill Scott,Who Is Jill Scott? (Words And Sounds Volume 1),"funk,hip pop,neo soul,quiet storm,r&b,soul,urban contemporary",285733,2000-07-18
6,Casio,Jungle,For Ever,"indie soul,uk contemporary r&b",234369,2018-09-14
9,Why iii Love The Moon.,Phony Ppl,Yesterday's Tomorrow,"alternative r&b,indie r&b,indie soul",331826,2015-01-13
2,Plastic Plants,Mahalia,Isolation Tapes,"alternative r&b,chill r&b,dance pop,indie anthem-folk,indie soul,pop,r&b,uk contemporary r&b",199533,2020-05-01
